Compliance ID,Audit Status,Certification Date,Compliance Category,Certification Number
MCDJFA36,Approved,2023-06-06,Health & Safety,zdhiVe2
WI98JPTQ,Pending,2023-11-05,Quality,CPoQvr7
JV822TRH,Rejected,2023-04-16,Corporate Social Responsibility,rN6JgFM
6P4K6WGA,Pending,2023-10-28,Environmental,lnlM0Nx
QRAS3GE4,Approved,2023-12-09,Environmental,Q4aG2h7
EXNRF0DX,Approved,2023-02-26,Health & Safety,iyyZaPB
4PR1Y4HT,Rejected,2023-07-01,Environmental,lPt8PRc
2V53XNT5,Rejected,2023-05-20,Quality,KSkIgro
17H8MUXM,Rejected,2023-07-05,Environmental,ASfFET2
03DO5Q2O,Pending,2023-02-24,Environmental,8QJoHjA
34O1U56Q,Pending,2023-09-18,Corporate Social Responsibility,yE1AFd1
5DSB7DGL,Pending,2023-08-05,Health & Safety,SPHIde4
7ATJ2UII,Pending,2023-07-27,Health & Safety,7jwZ0qB
MARK15VH,Rejected,2023-12-13,Environmental,zlrouEF
PAEXRDHE,Pending,2023-09-07,Quality,bmqtbZu
OUD6M1PJ,Approved,2023-01-07,Corporate Social Responsibility,BcJlVYh
ATRTSB1T,Approved,2023-05-01,Environmental,SiRatdm
95M1FG1M,Pending,2023-11-14,Corporate Social Responsibility,4ThMlic
GXR76GUI,Rejected,2023-10-14,Corporate Social Responsibility,5gM8BLY
YIS3TWGE,Pending,2023-08-14,Quality,zNeRW3W
A1Y1Z090,Pending,2023-03-19,Quality,nnZFefU
XF92BTX5,Rejected,2023-01-12,Health & Safety,yxbP6tC
1UJTGEHK,Pending,2023-08-22,Environmental,e6XJOBg
VSIUNYQU,Pending,2023-06-27,Quality,72Pa7pq
DEINHW55,Pending,2023-02-09,Quality,B6xxUl3
9JMMPHK1,Approved,2023-05-07,Health & Safety,QBE5UlL
ZG0LMUU2,Approved,2023-01-01,Environmental,rbQhkvP
DYV9WWGP,Pending,2023-04-26,Health & Safety,H6xG95i
ICR34C4M,Pending,2023-03-12,Environmental,YbeD3nR
KMI614MA,Rejected,2023-12-17,Health & Safety,nkZyV7r
HLW5OHJD,Approved,2023-04-12,Environmental,dsROYPz
K4KD5Z84,Approved,2023-08-03,Environmental,4oYFqY1
46XYNLSD,Rejected,2023-06-10,Quality,LfanNQ1
F5EIATA8,Approved,2023-10-02,Health & Safety,EtyVrPI
3G8RVSIG,Pending,2023-01-13,Corporate Social Responsibility,fKHH5Mq
IWFN650K,Rejected,2023-09-22,Health & Safety,DQSEozj
B4996UKJ,Approved,2023-10-05,Health & Safety,bhRDHnN
UVNP66ZI,Rejected,2023-09-07,Health & Safety,l3WHGQ6
QUSXPEBW,Pending,2023-06-06,Quality,7moEzm3
CA4R4K9C,Pending,2023-02-23,Quality,U5yOSiG
FI04S43R,Pending,2023-12-04,Quality,lmWivI2
GATWKGKZ,Pending,2023-10-06,Health & Safety,UIqca9r
I2T1BSMJ,Rejected,2023-11-20,Environmental,CtUwKwJ
9DJPW34O,Rejected,2023-10-26,Environmental,Uh2EOPp
6VCEAPLW,Rejected,2023-08-02,Corporate Social Responsibility,taynpAO
31JGVESF,Approved,2023-10-10,Health & Safety,656qRPK
QETAH50R,Approved,2023-04-03,Health & Safety,54kyKf8
JORWMWPY,Pending,2023-11-11,Environmental,qbDhwLi
KBGBDB7U,Approved,2023-01-23,Health & Safety,EjpeDOX
TFNGUQ12,Approved,2023-06-26,Environmental,dGCGU23
S6YDLV6B,Approved,2023-10-26,Environmental,6EclVOJ
TAR411L3,Rejected,2023-11-04,Health & Safety,v0Ajyl6
9GGMJM4A,Pending,2023-06-24,Environmental,34WC6iW
KJ8LRICJ,Rejected,2023-10-19,Quality,cw8x3Y9
CSIKRD58,Rejected,2023-06-16,Health & Safety,2YGedSc
ZRPFQDS6,Approved,2023-11-14,Quality,xHBDw5Z
9TO5GMD3,Rejected,2023-07-25,Corporate Social Responsibility,mZ85Eex
NCYJO03X,Approved,2023-01-22,Environmental,lN527zX
HWFI68EE,Rejected,2023-03-15,Health & Safety,QWJtqfr
