Supplier ID,Supplier Name,Region,Lead Time (days),Product Availability
RWMDAJHX,Supplier B,Europe,10,Out of Stock
PBVOUXJK,Supplier A,Asia,2,In Stock
TAV1E4Z6,Supplier B,South America,5,In Stock
LILXG6U7,Supplier D,Europe,5,Backordered
TZRSB2Z7,Supplier C,South America,2,Out of Stock
CM3FEF9J,Supplier C,Europe,5,In Stock
G01WCUDK,Supplier B,South America,2,Backordered
3TW4TZJN,Supplier D,Asia,7,Backordered
XFK992KP,Supplier D,North America,10,In Stock
6WM2PKF3,Supplier B,North America,2,In Stock
VXMAYG5T,Supplier D,Europe,7,Backordered
FCEC4WX2,Supplier C,South America,10,In Stock
IF2BA2FM,Supplier C,Europe,5,Backordered
W1W5J0KA,Supplier C,North America,5,Out of Stock
JL5427QX,Supplier B,North America,10,In Stock
TKQPWOTX,Supplier B,South America,2,Backordered
FT9TRKAJ,Supplier C,Asia,2,Out of Stock
4CA8KRK9,Supplier C,North America,2,In Stock
F8W478M3,Supplier A,South America,10,Out of Stock
8QG25HU1,Supplier A,South America,2,Backordered
AWHC9ZNN,Supplier A,South America,5,Out of Stock
A3ZLVMYW,Supplier A,South America,10,Out of Stock
5149Q6EP,Supplier A,South America,10,In Stock
TB3F2RN9,Supplier D,South America,10,Out of Stock
X67YPX35,Supplier A,North America,10,Backordered
G4OTLBZH,Supplier A,Asia,10,Out of Stock
FCKEDOE1,Supplier A,South America,2,Backordered
L4PT7GHG,Supplier B,South America,5,In Stock
EH9ASGGK,Supplier B,Asia,7,Out of Stock
JI5WDB2U,Supplier D,South America,2,In Stock
N2MZ638N,Supplier C,South America,2,Backordered
0UYDJPND,Supplier C,North America,5,In Stock
MRUNWWNV,Supplier A,South America,7,Backordered
B7HBVYDY,Supplier B,South America,7,Out of Stock
XU09XU1O,Supplier A,Asia,7,Out of Stock
AHEPTIMY,Supplier B,Europe,10,Backordered
U6R29HJR,Supplier C,Asia,7,In Stock
EV0TB5F2,Supplier B,Europe,7,Out of Stock
FMEGMX7Q,Supplier A,Europe,5,In Stock
QC0J4RKZ,Supplier A,South America,5,In Stock
MY3YI76X,Supplier C,South America,7,Backordered
XZJWLVHH,Supplier B,Asia,10,In Stock
O1O7NGIW,Supplier B,North America,2,Out of Stock
O6TRBDZ0,Supplier A,North America,10,In Stock
I7WZCWSP,Supplier B,Europe,5,In Stock
LKSXF18H,Supplier A,South America,5,In Stock
OKW5O0R7,Supplier A,North America,10,In Stock
0LF2RJ8J,Supplier A,South America,2,Out of Stock
F6DRBQ2M,Supplier D,South America,7,Out of Stock
9KI4VEIQ,Supplier D,Europe,7,Backordered
3DCNTFSU,Supplier C,Europe,10,Backordered
GE6A4D1Z,Supplier B,Asia,10,In Stock
LITZV9YN,Supplier C,South America,2,Out of Stock
FHSTXWBZ,Supplier C,Asia,2,Backordered
66IOOGIT,Supplier D,North America,2,In Stock
GH5A9B29,Supplier B,South America,7,In Stock
M8UWDA0A,Supplier D,Asia,10,In Stock
7UNTK9LD,Supplier C,Europe,5,Backordered
CEO6IJS8,Supplier B,North America,10,In Stock
8XK1QUGB,Supplier A,South America,7,Out of Stock
QK78VJ3L,Supplier B,Asia,2,Out of Stock
ECW78X1N,Supplier D,North America,10,In Stock
D7K3MGQU,Supplier A,North America,2,Backordered
AJ3UYHQG,Supplier A,South America,2,Out of Stock
YYKOY6G1,Supplier A,Asia,7,Out of Stock
T56W8QTK,Supplier B,South America,5,In Stock
PMH7PF2G,Supplier C,South America,10,In Stock
B423JQCB,Supplier C,Asia,5,Backordered
XYW0BI5V,Supplier D,Europe,2,Out of Stock
R2PIHYNP,Supplier B,North America,10,Backordered
IZTMVAYI,Supplier A,Asia,10,In Stock
X6B3539U,Supplier C,Asia,10,Backordered
LZ3O5XZ6,Supplier D,Europe,5,Backordered
TLX47T9S,Supplier A,North America,10,Out of Stock
DI3KW5QV,Supplier B,North America,7,Out of Stock
E8OLZJXG,Supplier D,North America,2,In Stock
37S920BY,Supplier D,Asia,2,Backordered
KD0LNCBI,Supplier D,Asia,2,Out of Stock
7XFAVTOL,Supplier C,South America,10,Backordered
A42GTM3U,Supplier A,Europe,5,Backordered
NRBQDOTD,Supplier B,North America,7,In Stock
NUHGQLMW,Supplier D,North America,10,In Stock
M09JQTQY,Supplier D,Europe,2,Out of Stock
VH8R8NA3,Supplier D,Asia,7,Backordered
9G22EK0S,Supplier A,Europe,2,Backordered
B6B5XYXL,Supplier B,South America,5,In Stock
CBPAGT9S,Supplier B,North America,7,Backordered
TLAYXT5M,Supplier D,Europe,10,Backordered
WNOTJ5NY,Supplier B,South America,10,Backordered
LVYLZ24C,Supplier A,North America,5,Backordered
97WL7Y7Z,Supplier B,Asia,7,Backordered
19X57C6V,Supplier B,South America,2,Out of Stock
EAS957OR,Supplier B,North America,5,Backordered
MECVF3ZG,Supplier B,North America,2,In Stock
Q9RQKP4C,Supplier C,Europe,10,Out of Stock
JDN0CP6Q,Supplier D,North America,10,Backordered
HSKZ0BAL,Supplier C,Asia,7,In Stock
8N6SQ777,Supplier C,Asia,5,Backordered
X4GPM31S,Supplier C,North America,5,In Stock
28CNLA3T,Supplier B,Asia,2,In Stock
