TransactionID,CustomerID,Amount,Currency,TransactionDate,TransactionType,Category,MerchantID,TransactionStatus,PaymentMethod,Location,TransactionTime,FraudFlag,TransactionFee,MerchantCategory,CustomerAge,DeviceType
TXN4088,CUST489,1054.76,GBP,04/16/2023,Debit,Travel,MER213,Completed,E-Wallet,Toronto,09:34,1,7.59,Bank,61,Mobile
TXN6141,CUST836,3014.76,EUR,02/06/2023,Credit,Electronics,MER391,Pending,E-Wallet,London,17:35,0,20.21,Online Retailer,38,Desktop
TXN1461,CUST429,4994.17,GBP,01/06/2023,Debit,Travel,MER986,Pending,Bank Transfer,Paris,13:42,1,8.48,Restaurant,51,Mobile
TXN2981,CUST203,2417.02,USD,06/15/2023,Debit,Groceries,MER985,Failed,E-Wallet,Berlin,05:09,0,40.16,Physical Store,24,Desktop
TXN2653,CUST583,3058.93,USD,02/24/2023,Debit,Entertainment,MER799,Failed,Debit Card,New York,09:13,0,22.9,Bank,61,Mobile
TXN2695,CUST437,2561.03,EUR,03/11/2023,Debit,Groceries,MER739,Failed,Debit Card,Tokyo,02:08,1,1.53,Physical Store,35,Mobile
TXN8753,CUST478,4506.01,GBP,07/17/2023,Credit,Clothing,MER916,Failed,Credit Card,Tokyo,08:50,1,43.61,Restaurant,49,ATM
TXN4170,CUST609,2937.05,GBP,10/20/2023,Credit,Travel,MER939,Completed,E-Wallet,London,16:54,1,19.45,Restaurant,45,Mobile
TXN4584,CUST659,4260.25,EUR,08/21/2023,Debit,Healthcare,MER160,Completed,Bank Transfer,Tokyo,13:23,1,3.25,Bank,64,Desktop
TXN4263,CUST380,1585.12,GBP,06/06/2023,Credit,Healthcare,MER709,Completed,Bank Transfer,Berlin,12:14,0,40.3,Bank,71,Mobile
TXN4485,CUST804,2285.84,EUR,08/27/2023,Credit,Travel,MER367,Completed,Debit Card,New York,11:18,1,44.88,Restaurant,62,Mobile
TXN9837,CUST166,1454.59,GBP,04/02/2023,Credit,Healthcare,MER553,Pending,Credit Card,Toronto,21:12,1,8.96,Restaurant,45,ATM
TXN2225,CUST553,4690.84,EUR,04/06/2023,Debit,Electronics,MER214,Failed,E-Wallet,Toronto,02:23,0,39.81,Physical Store,30,ATM
TXN6195,CUST339,3817.95,GBP,08/04/2023,Debit,Healthcare,MER425,Pending,Credit Card,Paris,04:26,1,23.81,Physical Store,64,Mobile
TXN5651,CUST240,1198.82,EUR,09/02/2023,Credit,Travel,MER792,Failed,Bank Transfer,New York,07:15,1,44.44,Restaurant,38,Mobile
TXN6200,CUST694,4766.18,USD,07/18/2023,Credit,Healthcare,MER468,Completed,Debit Card,Paris,08:59,1,30.82,Online Retailer,63,Desktop
TXN1568,CUST977,1597.62,GBP,12/22/2023,Credit,Clothing,MER112,Completed,Bank Transfer,Tokyo,12:57,1,33.2,Restaurant,72,Desktop
TXN6100,CUST928,2876.74,GBP,09/12/2023,Credit,Clothing,MER120,Pending,Credit Card,Paris,21:06,1,3.66,Bank,29,Mobile
TXN9409,CUST319,3600.99,EUR,01/28/2023,Debit,Clothing,MER525,Pending,Debit Card,Tokyo,15:04,1,45.23,Online Retailer,22,Desktop
TXN7210,CUST681,2788.16,USD,04/13/2023,Credit,Clothing,MER919,Pending,Bank Transfer,London,21:13,0,30.21,Restaurant,29,ATM
TXN4668,CUST597,2142.26,USD,08/11/2023,Debit,Entertainment,MER495,Pending,Bank Transfer,Paris,09:10,1,7.47,Physical Store,39,Desktop
TXN4170,CUST816,4745.65,GBP,12/27/2023,Debit,Electronics,MER846,Completed,Bank Transfer,Berlin,23:02,1,42.87,Physical Store,47,Desktop
TXN7524,CUST424,3904.31,GBP,01/09/2023,Debit,Clothing,MER347,Failed,Debit Card,Tokyo,12:18,0,20.54,Bank,72,Mobile
TXN9743,CUST875,2247.03,GBP,03/01/2023,Credit,Travel,MER172,Completed,E-Wallet,Tokyo,16:40,1,46.33,Physical Store,36,Mobile
TXN3568,CUST608,2892.41,EUR,06/03/2023,Credit,Entertainment,MER738,Pending,Credit Card,New York,05:52,1,4.58,Bank,53,ATM
TXN5287,CUST673,1112.55,USD,10/06/2023,Debit,Groceries,MER174,Failed,Bank Transfer,Tokyo,06:39,1,11.03,Physical Store,66,ATM
TXN2885,CUST189,4048.31,GBP,09/24/2023,Credit,Groceries,MER396,Failed,Credit Card,Paris,20:52,1,36.25,Restaurant,69,Mobile
TXN3162,CUST146,2453.27,GBP,06/27/2023,Credit,Groceries,MER285,Pending,Bank Transfer,Toronto,17:03,0,48.98,Bank,68,ATM
TXN4318,CUST249,2790.54,USD,12/01/2023,Credit,Travel,MER991,Failed,Bank Transfer,Tokyo,13:20,0,49.14,Bank,62,Desktop
TXN8587,CUST334,2064.07,EUR,06/28/2023,Credit,Electronics,MER643,Completed,E-Wallet,Tokyo,11:49,1,31.95,Online Retailer,35,Mobile
TXN7221,CUST329,3057.67,USD,03/21/2023,Credit,Travel,MER421,Failed,E-Wallet,New York,11:15,0,38.24,Online Retailer,43,Desktop
TXN1476,CUST226,2120.0,EUR,03/23/2023,Debit,Electronics,MER892,Pending,E-Wallet,London,02:32,0,24.82,Online Retailer,30,Desktop
TXN2331,CUST588,997.17,GBP,07/08/2023,Debit,Groceries,MER195,Pending,Debit Card,Tokyo,20:19,1,42.33,Restaurant,26,ATM
TXN2769,CUST479,4724.41,EUR,07/01/2023,Credit,Travel,MER468,Failed,E-Wallet,New York,08:41,1,3.92,Bank,62,Mobile
TXN8085,CUST834,2616.0,GBP,05/17/2023,Debit,Clothing,MER999,Failed,Bank Transfer,Paris,08:32,1,4.43,Bank,39,Mobile
TXN9605,CUST141,1638.24,GBP,09/20/2023,Credit,Electronics,MER775,Pending,E-Wallet,London,05:41,0,8.1,Online Retailer,70,Mobile
TXN3066,CUST240,1744.11,USD,08/05/2023,Credit,Clothing,MER555,Pending,Debit Card,Toronto,15:28,0,11.12,Physical Store,25,Mobile
TXN9499,CUST855,879.68,USD,02/11/2023,Debit,Electronics,MER544,Pending,Debit Card,London,07:42,1,45.22,Restaurant,30,Desktop
TXN9765,CUST120,565.41,USD,04/10/2023,Credit,Entertainment,MER619,Pending,E-Wallet,Tokyo,12:25,0,32.23,Restaurant,18,ATM
TXN7533,CUST415,552.22,EUR,02/16/2023,Credit,Groceries,MER257,Completed,E-Wallet,Paris,08:36,1,11.93,Physical Store,37,Desktop
TXN2741,CUST440,2042.34,EUR,06/26/2023,Credit,Groceries,MER395,Pending,E-Wallet,Paris,16:24,0,27.47,Online Retailer,28,Desktop
TXN4908,CUST470,3468.54,EUR,03/22/2023,Debit,Entertainment,MER465,Pending,Bank Transfer,Berlin,05:40,1,11.22,Bank,27,Mobile
TXN5742,CUST377,1125.98,EUR,06/05/2023,Debit,Entertainment,MER863,Completed,Debit Card,New York,16:44,0,4.5,Restaurant,36,ATM
TXN4549,CUST466,3443.81,USD,01/25/2023,Debit,Travel,MER935,Pending,Bank Transfer,Paris,04:52,1,48.95,Online Retailer,59,Desktop
TXN5840,CUST570,3872.96,EUR,06/01/2023,Debit,Travel,MER902,Pending,Credit Card,New York,03:31,1,11.25,Restaurant,26,ATM
TXN8884,CUST644,4488.45,USD,04/22/2023,Debit,Electronics,MER983,Completed,Bank Transfer,New York,13:31,0,30.84,Restaurant,26,ATM
TXN6112,CUST532,2303.56,EUR,10/26/2023,Debit,Groceries,MER889,Completed,Credit Card,Tokyo,11:54,0,31.22,Online Retailer,58,ATM
TXN3402,CUST868,4814.19,EUR,07/25/2023,Debit,Clothing,MER838,Pending,Debit Card,Paris,15:30,0,8.69,Bank,67,Desktop
TXN5493,CUST646,3604.0,GBP,12/10/2023,Credit,Clothing,MER666,Completed,Bank Transfer,Tokyo,09:01,0,10.48,Online Retailer,37,Mobile
TXN8436,CUST439,1988.07,USD,02/27/2023,Debit,Entertainment,MER610,Completed,E-Wallet,London,15:54,0,4.9,Physical Store,27,Desktop
TXN6698,CUST579,3323.79,GBP,03/21/2023,Credit,Electronics,MER652,Pending,Debit Card,London,01:25,0,16.72,Physical Store,36,ATM
TXN7771,CUST733,3690.73,GBP,02/07/2023,Credit,Groceries,MER806,Completed,Bank Transfer,Toronto,17:58,1,32.4,Physical Store,63,Desktop
TXN9109,CUST732,2749.68,EUR,10/08/2023,Credit,Groceries,MER163,Failed,E-Wallet,Toronto,12:23,0,46.37,Restaurant,42,ATM
TXN6205,CUST934,798.48,USD,09/04/2023,Credit,Travel,MER162,Pending,Debit Card,Tokyo,13:57,0,44.0,Online Retailer,69,Mobile
TXN2291,CUST693,783.49,EUR,10/04/2023,Debit,Electronics,MER275,Completed,E-Wallet,Tokyo,06:32,1,35.64,Restaurant,60,Mobile
TXN1871,CUST826,2283.23,GBP,06/09/2023,Credit,Groceries,MER149,Failed,E-Wallet,London,11:57,0,17.44,Physical Store,70,Mobile
TXN4410,CUST411,1806.58,USD,03/05/2023,Credit,Healthcare,MER528,Completed,Bank Transfer,New York,15:15,0,2.04,Restaurant,71,ATM
TXN2945,CUST784,3131.93,USD,12/04/2023,Credit,Groceries,MER751,Failed,Bank Transfer,Berlin,01:06,1,45.77,Restaurant,68,Desktop
TXN8336,CUST682,4313.91,USD,04/03/2023,Debit,Electronics,MER257,Failed,Credit Card,London,01:15,0,20.54,Physical Store,56,ATM
TXN9786,CUST593,691.9,USD,01/03/2023,Debit,Electronics,MER365,Completed,Credit Card,Paris,22:07,0,24.25,Physical Store,22,Mobile
TXN9872,CUST661,2895.59,GBP,06/28/2023,Credit,Electronics,MER384,Pending,Credit Card,New York,03:28,0,2.63,Online Retailer,74,ATM
TXN8914,CUST516,943.38,EUR,10/19/2023,Debit,Travel,MER248,Pending,Bank Transfer,London,23:10,0,18.16,Online Retailer,68,Desktop
TXN8552,CUST816,3289.12,GBP,06/05/2023,Debit,Electronics,MER103,Completed,Bank Transfer,Berlin,11:22,1,10.72,Bank,25,Mobile
TXN8538,CUST972,3138.51,GBP,07/11/2023,Credit,Entertainment,MER899,Failed,Debit Card,Berlin,12:27,0,15.8,Physical Store,33,Desktop
TXN5119,CUST992,2526.62,EUR,07/14/2023,Debit,Groceries,MER259,Pending,Credit Card,London,16:03,1,3.49,Bank,30,Mobile
TXN6704,CUST977,933.6,USD,03/07/2023,Debit,Travel,MER179,Failed,Debit Card,Paris,12:11,1,42.7,Restaurant,45,ATM
TXN3377,CUST890,1192.29,GBP,12/16/2023,Debit,Travel,MER240,Pending,E-Wallet,Toronto,15:27,0,37.63,Restaurant,35,Mobile
TXN9330,CUST564,845.76,EUR,10/19/2023,Credit,Travel,MER806,Pending,E-Wallet,London,11:01,1,41.66,Physical Store,45,ATM
TXN6570,CUST591,3282.14,USD,04/10/2023,Credit,Groceries,MER795,Completed,Bank Transfer,Toronto,03:35,0,38.54,Bank,39,Mobile
TXN5820,CUST613,842.8,GBP,12/12/2023,Debit,Groceries,MER847,Failed,Bank Transfer,Paris,16:35,0,29.31,Online Retailer,43,Desktop
TXN8902,CUST283,2767.18,USD,07/06/2023,Credit,Travel,MER374,Pending,Debit Card,Toronto,17:00,0,5.86,Bank,23,Mobile
TXN4930,CUST854,1465.0,USD,06/03/2023,Credit,Clothing,MER925,Failed,E-Wallet,Tokyo,15:20,0,44.32,Physical Store,21,ATM
TXN3682,CUST535,985.24,EUR,10/07/2023,Credit,Groceries,MER522,Pending,Credit Card,Tokyo,04:37,1,21.27,Online Retailer,35,ATM
TXN5476,CUST772,3084.7,GBP,05/28/2023,Debit,Healthcare,MER466,Failed,Bank Transfer,Paris,04:09,1,4.93,Restaurant,52,ATM
TXN5860,CUST290,2567.22,GBP,11/19/2023,Credit,Healthcare,MER518,Failed,Credit Card,London,15:44,0,38.45,Physical Store,23,ATM
TXN4796,CUST204,2344.53,USD,01/03/2023,Debit,Travel,MER496,Failed,Bank Transfer,Toronto,19:50,1,8.1,Online Retailer,72,Mobile
TXN9199,CUST625,4040.18,GBP,10/01/2023,Credit,Clothing,MER645,Pending,Bank Transfer,Toronto,20:44,0,16.57,Restaurant,55,Mobile
TXN7899,CUST286,3327.71,EUR,01/12/2023,Credit,Healthcare,MER654,Failed,E-Wallet,Toronto,06:00,0,9.76,Restaurant,50,ATM
TXN6299,CUST130,2370.59,USD,06/03/2023,Credit,Entertainment,MER852,Completed,Debit Card,London,08:48,1,12.88,Restaurant,33,Desktop
TXN4032,CUST401,3511.27,USD,08/14/2023,Debit,Groceries,MER602,Completed,Debit Card,Berlin,19:06,0,13.07,Restaurant,40,Desktop
TXN5033,CUST544,894.68,GBP,08/26/2023,Credit,Clothing,MER951,Pending,Debit Card,Tokyo,13:38,0,3.01,Restaurant,66,Mobile
TXN4082,CUST892,4694.44,EUR,10/28/2023,Credit,Electronics,MER689,Completed,E-Wallet,Tokyo,04:35,0,15.17,Restaurant,23,ATM
TXN4488,CUST478,559.95,GBP,07/25/2023,Debit,Groceries,MER290,Failed,E-Wallet,Paris,01:23,0,10.0,Physical Store,60,ATM
TXN7634,CUST859,1196.99,EUR,07/11/2023,Credit,Entertainment,MER169,Completed,Bank Transfer,Berlin,10:30,1,49.75,Online Retailer,40,Desktop
TXN7871,CUST227,1193.89,GBP,02/23/2023,Credit,Healthcare,MER911,Completed,Bank Transfer,London,03:40,1,34.53,Online Retailer,61,Mobile
TXN6925,CUST521,111.5,EUR,08/09/2023,Credit,Electronics,MER722,Failed,Credit Card,Berlin,16:42,1,17.0,Online Retailer,46,ATM
TXN4343,CUST642,4566.31,EUR,11/13/2023,Debit,Entertainment,MER965,Failed,Bank Transfer,Toronto,07:39,0,11.73,Bank,70,Desktop
TXN2777,CUST660,579.19,EUR,01/20/2023,Debit,Electronics,MER325,Pending,Credit Card,Toronto,09:08,1,48.85,Physical Store,73,ATM
TXN9302,CUST853,4518.71,USD,05/06/2023,Debit,Electronics,MER732,Completed,Debit Card,Berlin,05:34,1,6.51,Physical Store,56,Desktop
TXN3189,CUST444,4578.57,GBP,12/11/2023,Debit,Entertainment,MER981,Failed,Debit Card,London,22:31,0,1.81,Restaurant,36,Mobile
TXN7316,CUST146,3271.25,EUR,02/26/2023,Debit,Electronics,MER912,Pending,E-Wallet,New York,16:53,0,15.2,Bank,52,Desktop
TXN7634,CUST453,4045.05,GBP,01/14/2023,Debit,Entertainment,MER241,Completed,Debit Card,New York,00:35,1,49.16,Online Retailer,57,Desktop
TXN3821,CUST680,1530.69,GBP,10/06/2023,Credit,Electronics,MER844,Completed,E-Wallet,Toronto,22:26,1,25.67,Online Retailer,20,Desktop
TXN4262,CUST280,2399.47,GBP,03/09/2023,Credit,Healthcare,MER503,Pending,Debit Card,Berlin,23:46,0,48.84,Physical Store,59,Mobile
TXN8129,CUST183,4605.05,USD,05/18/2023,Debit,Groceries,MER871,Pending,Bank Transfer,Paris,18:54,1,42.8,Bank,28,Desktop
TXN3427,CUST705,3803.53,EUR,03/15/2023,Credit,Electronics,MER359,Failed,E-Wallet,New York,18:52,0,1.02,Online Retailer,40,Desktop
TXN4620,CUST249,3504.45,GBP,02/23/2023,Debit,Groceries,MER814,Failed,Debit Card,New York,06:22,0,23.6,Physical Store,71,Mobile
TXN2934,CUST741,4309.68,EUR,11/21/2023,Debit,Groceries,MER410,Pending,Bank Transfer,London,14:26,0,5.36,Restaurant,38,Desktop
TXN2685,CUST665,1669.45,GBP,08/02/2023,Credit,Groceries,MER676,Completed,E-Wallet,Toronto,00:58,0,38.37,Physical Store,45,Mobile
TXN9252,CUST571,3203.26,EUR,02/20/2023,Debit,Clothing,MER413,Pending,Bank Transfer,London,05:58,1,33.98,Online Retailer,73,Mobile
TXN3269,CUST121,3224.29,EUR,09/16/2023,Credit,Groceries,MER597,Pending,E-Wallet,London,22:29,0,45.27,Physical Store,35,ATM
TXN2487,CUST322,147.0,EUR,09/05/2023,Debit,Healthcare,MER952,Pending,E-Wallet,Tokyo,08:33,1,16.78,Online Retailer,27,Mobile
TXN4539,CUST846,3494.51,EUR,03/08/2023,Debit,Groceries,MER395,Pending,Credit Card,London,21:05,1,20.04,Bank,49,Mobile
TXN2369,CUST954,3281.24,USD,06/25/2023,Credit,Electronics,MER972,Completed,E-Wallet,New York,10:55,0,30.57,Bank,36,Desktop
TXN9754,CUST130,4966.27,EUR,06/02/2023,Credit,Clothing,MER862,Pending,Debit Card,Tokyo,21:25,0,30.6,Restaurant,58,ATM
TXN2328,CUST556,4672.51,USD,08/06/2023,Credit,Electronics,MER536,Failed,Bank Transfer,Toronto,00:27,1,19.4,Online Retailer,54,ATM
TXN4070,CUST558,1374.22,USD,11/01/2023,Debit,Travel,MER866,Pending,E-Wallet,Paris,07:46,1,44.54,Restaurant,41,ATM
TXN1400,CUST185,934.18,USD,08/14/2023,Credit,Travel,MER212,Pending,Debit Card,Berlin,16:37,0,17.21,Physical Store,20,Mobile
TXN9068,CUST411,4011.85,GBP,01/28/2023,Credit,Healthcare,MER882,Completed,Credit Card,Toronto,04:17,0,28.34,Restaurant,61,Desktop
TXN4503,CUST158,318.15,USD,08/20/2023,Credit,Travel,MER420,Failed,Bank Transfer,Tokyo,10:55,1,22.94,Online Retailer,37,Desktop
TXN2941,CUST889,1258.68,GBP,09/06/2023,Debit,Clothing,MER190,Completed,Debit Card,Paris,21:50,0,31.98,Restaurant,75,ATM
TXN6749,CUST489,1614.44,EUR,02/02/2023,Debit,Travel,MER586,Pending,E-Wallet,Berlin,00:14,0,40.23,Online Retailer,50,Mobile
TXN7304,CUST462,3382.58,GBP,03/10/2023,Credit,Groceries,MER153,Failed,Credit Card,London,14:46,1,35.13,Online Retailer,71,ATM
TXN1286,CUST768,4504.28,EUR,10/24/2023,Credit,Electronics,MER882,Failed,E-Wallet,Berlin,08:18,0,29.88,Restaurant,44,Desktop
TXN4440,CUST494,3327.37,EUR,04/04/2023,Credit,Groceries,MER191,Pending,Bank Transfer,Toronto,22:33,1,26.4,Restaurant,69,Desktop
TXN9866,CUST182,2295.52,USD,04/18/2023,Credit,Entertainment,MER439,Completed,E-Wallet,Berlin,23:28,1,46.79,Restaurant,48,Mobile
TXN1778,CUST686,1662.23,EUR,04/12/2023,Credit,Healthcare,MER121,Failed,Credit Card,Toronto,12:53,1,11.2,Online Retailer,27,Mobile
TXN8869,CUST632,4645.05,GBP,01/06/2023,Debit,Healthcare,MER167,Pending,Credit Card,Tokyo,18:27,1,17.07,Physical Store,44,Mobile
TXN7087,CUST706,2289.87,GBP,04/07/2023,Debit,Entertainment,MER724,Pending,Debit Card,Tokyo,09:22,1,38.81,Online Retailer,44,Mobile
TXN2700,CUST688,1667.51,USD,09/19/2023,Debit,Clothing,MER642,Completed,Credit Card,Paris,06:21,0,35.06,Physical Store,56,ATM
TXN7446,CUST792,1474.98,USD,02/01/2023,Debit,Healthcare,MER688,Completed,Debit Card,Toronto,02:57,0,46.31,Bank,51,ATM
TXN1041,CUST809,1830.9,EUR,11/15/2023,Debit,Electronics,MER397,Completed,Debit Card,London,05:08,0,30.98,Bank,54,ATM
